# Počet opakování k = 100
# Celkový čas výpočtů: 12.76 sekund
N (počet bodů)      	pi (odhad)          	Kombinovaná nejistota uC 
50                  	3.3600000000        
63                  	3.1746031746        
79                  	2.9873417722        
100                 	3.0800000000        
125                 	3.2640000000        
158                 	3.0886075949        
199                 	3.2160804020        
251                 	3.2669322709        
316                 	3.1012658228        
398                 	3.2462311558        
501                 	3.1536926148        
630                 	3.1809523810        
794                 	3.1385390428        
1000                	3.1800000000        
1258                	3.1128775835        
1584                	3.1691919192        
1995                	3.1037593985        
2511                	3.1604938272        
3162                	3.1081593928        
3981                	3.1640291384        
5011                	3.1570544801        
6309                	3.1485179902        
7943                	3.1232531789        
10000               	3.1388000000        
12589               	3.1500516324        
15848               	3.1420999495        
19952               	3.1154771451        
25118               	3.1406959153        
31622               	3.1392068813        
39810               	3.1483546848        
50118               	3.1326868590        
63095               	3.1305808701        
79432               	3.1432168396        
100000              	3.1404000000        
125892              	3.1493025768        
158489              	3.1373029043        
199526              	3.1434098814        
251188              	3.1458190678        
316227              	3.1368099498        
398107              	3.1426827461        
501187              	3.1372002865        
630957              	3.1361756823        
794328              	3.1402795822        

k = 12
N                   	pi odhad            
1                   	4.0000000000        
2                   	4.0000000000        
3                   	4.0000000000        
5                   	4.0000000000        
6                   	4.0000000000        
7                   	3.4285714286        
10                  	3.6000000000        
12                  	3.6666666667        
15                  	3.7333333333        
19                  	3.3684210526        
25                  	2.5600000000        
31                  	2.8387096774        
39                  	3.0769230769        
50                  	3.6000000000        
63                  	2.9206349206        
79                  	3.0886075949        
100                 	3.0800000000        
125                 	2.9760000000        
158                 	3.1139240506        
199                 	3.0351758794        
251                 	3.2031872510        
316                 	2.9746835443        
398                 	3.0854271357        
501                 	3.1297405190        
630                 	3.1428571429        
794                 	3.0680100756        
1000                	3.1160000000        
1258                	3.1255961844        
1584                	3.1464646465        
1995                	3.1979949875        
2511                	3.1206690562        
3162                	3.1005692600        
3981                	3.1931675458        
5011                	3.1554579924        
6309                	3.1605642733        
7943                	3.1449074657        
10000               	3.1480000000        
12589               	3.1189133370        
15848               	3.1607773852        
19952               	3.1688051323        
25118               	3.1515248029        
31622               	3.1387009044        
39810               	3.1334840492        
50118               	3.1297338282        
63095               	3.1472541406        
79432               	3.1359653540        
100000              	3.1410800000        
125892              	3.1391986782        
158489              	3.1408362725        
199526              	3.1387588585        
251188              	3.1436533592        
316227              	3.1393650764        
398107              	3.1398794796        
501187              	3.1430264552        
630957              	3.1443981127        
794328              	3.1433060398        

k = 13
N                   	pi odhad            
1                   	4.0000000000        
2                   	2.0000000000        
3                   	4.0000000000        
5                   	4.0000000000        
6                   	4.0000000000        
7                   	2.8571428571        
10                  	2.8000000000        
12                  	3.0000000000        
15                  	2.9333333333        
19                  	2.9473684211        
25                  	2.8800000000        
31                  	3.0967741935        
39                  	2.8717948718        
50                  	2.9600000000        
63                  	3.3015873016        
79                  	2.8860759494        
100                 	3.0400000000        
125                 	3.4240000000        
158                 	3.1139240506        
199                 	3.0753768844        
251                 	3.2191235060        
316                 	3.0886075949        
398                 	3.1557788945        
501                 	3.2335329341        
630                 	3.1682539683        
794                 	3.1738035264        
1000                	3.1040000000        
1258                	3.0683624801        
1584                	3.1616161616        
1995                	3.1819548872        
2511                	3.1318199920        
3162                	3.2220113852        
3981                	3.1429289123        
5011                	3.1339054081        
6309                	3.1142811856        
7943                	3.1776406899        
10000               	3.1284000000        
12589               	3.1681626817        
15848               	3.1468955073        
19952               	3.1453488372        
25118               	3.1383071901        
31622               	3.1715893998        
39810               	3.1391107762        
50118               	3.1487289996        
63095               	3.1326729535        
79432               	3.1371739349        
100000              	3.1422400000        
125892              	3.1391669050        
158489              	3.1326085722        
199526              	3.1397411866        
251188              	3.1424431103        
316227              	3.1398836911        
398107              	3.1408641395        
501187              	3.1389241940        
630957              	3.1396307514        
794328              	3.1426967197        

k = 14
N                   	pi odhad            
1                   	4.0000000000        
2                   	0.0000000000        
3                   	4.0000000000        
5                   	3.2000000000        
6                   	4.0000000000        
7                   	2.8571428571        
10                  	3.6000000000        
12                  	3.3333333333        
15                  	3.4666666667        
19                  	3.1578947368        
25                  	3.2000000000        
31                  	3.2258064516        
39                  	3.4871794872        
50                  	3.2000000000        
63                  	3.5555555556        
79                  	3.2911392405        
100                 	3.2800000000        
125                 	2.7840000000        
158                 	3.1645569620        
199                 	2.9748743719        
251                 	3.2191235060        
316                 	3.2025316456        
398                 	3.2261306533        
501                 	3.0738522954        
630                 	3.0285714286        
794                 	3.0831234257        
1000                	3.1920000000        
1258                	3.1414944356        
1584                	3.0707070707        
1995                	3.1298245614        
2511                	3.0760653126        
3162                	3.1524351676        
3981                	3.1449384577        
5011                	3.1474755538        
6309                	3.1352036773        
7943                	3.1459146418        
10000               	3.1376000000        
12589               	3.1408372389        
15848               	3.1600201918        
19952               	3.1397353649        
25118               	3.1537542798        
31622               	3.1416102713        
39810               	3.1470484803        
50118               	3.1334849755        
63095               	3.1511847215        
79432               	3.1395910968        
100000              	3.1364800000        
125892              	3.1400565564        
158489              	3.1311195099        
199526              	3.1409640849        
251188              	3.1394652611        
316227              	3.1458287875        
398107              	3.1389752001        
501187              	3.1438405226        
630957              	3.1386734754        
794328              	3.1434671823        

k = 15
N                   	pi odhad            
1                   	0.0000000000        
2                   	4.0000000000        
3                   	4.0000000000        
5                   	2.4000000000        
6                   	3.3333333333        
7                   	3.4285714286        
10                  	3.2000000000        
12                  	2.6666666667        
15                  	3.4666666667        
19                  	2.9473684211        
25                  	3.0400000000        
31                  	2.7096774194        
39                  	2.5641025641        
50                  	3.4400000000        
63                  	3.1111111111        
79                  	3.1392405063        
100                 	3.1200000000        
125                 	3.2960000000        
158                 	3.1645569620        
199                 	3.3567839196        
251                 	3.1394422311        
316                 	3.2151898734        
398                 	3.0351758794        
501                 	3.1696606786        
630                 	3.0031746032        
794                 	3.1889168766        
1000                	3.1160000000        
1258                	3.1923688394        
1584                	3.1085858586        
1995                	3.1518796992        
2511                	3.0776583035        
3162                	3.1549652119        
3981                	3.1318764130        
5011                	3.1283177011        
6309                	3.1491520051        
7943                	3.1363464686        
10000               	3.1284000000        
12589               	3.1554531734        
15848               	3.1491670873        
19952               	3.1244987971        
25118               	3.1488175810        
31622               	3.1489469357        
39810               	3.1402160261        
50118               	3.1422642564        
63095               	3.1366035344        
79432               	3.1452311411        
100000              	3.1444400000        
125892              	3.1370380961        
158489              	3.1438648739        
199526              	3.1382977657        
251188              	3.1395767314        
316227              	3.1388464616        
398107              	3.1438984996        
501187              	3.1470728491        
630957              	3.1422299776        
794328              	3.1395292625        

k = 16
N                   	pi odhad            
1                   	4.0000000000        
2                   	2.0000000000        
3                   	4.0000000000        
5                   	3.2000000000        
6                   	3.3333333333        
7                   	4.0000000000        
10                  	3.6000000000        
12                  	2.6666666667        
15                  	2.6666666667        
19                  	2.3157894737        
25                  	2.8800000000        
31                  	2.9677419355        
39                  	3.0769230769        
50                  	3.0400000000        
63                  	3.1111111111        
79                  	2.8354430380        
100                 	3.2800000000        
125                 	3.0080000000        
158                 	3.1139240506        
199                 	3.2964824121        
251                 	3.1553784861        
316                 	3.2405063291        
398                 	3.0854271357        
501                 	3.1536926148        
630                 	3.1174603175        
794                 	3.1284634761        
1000                	3.0640000000        
1258                	3.1510333863        
1584                	3.1035353535        
1995                	3.1699248120        
2511                	3.1286340104        
3162                	3.1676154333        
3981                	3.1147952776        
5011                	3.1586509679        
6309                	3.1269614836        
7943                	3.1378572328        
10000               	3.1552000000        
12589               	3.1376598618        
15848               	3.1393235740        
19952               	3.1445469126        
25118               	3.1241340871        
31622               	3.1393333755        
39810               	3.1385079126        
50118               	3.1403487769        
63095               	3.1438307314        
79432               	3.1305770974        
100000              	3.1446400000        
125892              	3.1460299304        
158489              	3.1434358220        
199526              	3.1408237523        
251188              	3.1418857589        
316227              	3.1424514668        
398107              	3.1454759650        
501187              	3.1431940573        
630957              	3.1459513089        
794328              	3.1407227241        

k = 17
N                   	pi odhad            
1                   	4.0000000000        
2                   	2.0000000000        
3                   	4.0000000000        
5                   	2.4000000000        
6                   	4.0000000000        
7                   	2.8571428571        
10                  	3.6000000000        
12                  	3.6666666667        
15                  	3.4666666667        
19                  	2.9473684211        
25                  	2.7200000000        
31                  	2.4516129032        
39                  	3.1794871795        
50                  	3.2800000000        
63                  	2.9206349206        
79                  	3.0886075949        
100                 	2.9600000000        
125                 	3.1360000000        
158                 	3.0126582278        
199                 	3.1155778894        
251                 	3.2031872510        
316                 	2.9746835443        
398                 	3.1256281407        
501                 	3.2255489022        
630                 	3.0984126984        
794                 	3.0680100756        
1000                	3.1160000000        
1258                	3.1319554849        
1584                	3.1313131313        
1995                	3.1458646617        
2511                	3.1031461569        
3162                	3.1891208096        
3981                	3.1077618689        
5011                	3.1762123329        
6309                	3.1535901094        
7943                	3.1338285283        
10000               	3.1632000000        
12589               	3.1637143538        
15848               	3.1201413428        
19952               	3.1389334403        
25118               	3.1379886934        
31622               	3.1430017077        
39810               	3.1222305953        
